ID,NOM,PAYS,REGION,APPELLATION,PRODUCTEUR,ANNEE
387,E. Guigal,France,Northern Rhône,Côte-Rôtie La Turque,E. Guigal,2005
388,Château de Beaucastel,France,Southern Rhône,Hommage à Jacques Perrin Châteauneuf-du-Pape,Château de Beaucastel,2019
389,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Saint-Vivant Grand Cru (Marey-Monge),Domaine de La Romanée-Conti,2010
390,Domaine Armand Rousseau,France,Burgundy,Chambertin Grand Cru,Domaine Armand Rousseau,2009
391,Pétrus,France,Bordeaux Right Bank,Pomerol,Pétrus,2016
392,Eisele Vineyard,United States,Napa Valley,Cabernet Sauvignon,Eisele Vineyard,2014
393,E. Guigal,France,Northern Rhône,Côte-Rôtie La Turque,E. Guigal,2009
394,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Conti Grand Cru,Domaine de La Romanée-Conti,1993
395,Château Mouton Rothschild,France,Bordeaux Left Bank,Pauillac (Premier Grand Cru Classé),Château Mouton Rothschild,1961
396,E. Guigal,France,Northern Rhône,Côte-Rôtie La Mouline,E. Guigal,1999
397,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Saint-Vivant Grand Cru (Marey-Monge),Domaine de La Romanée-Conti,2013
398,Château de Beaucastel,France,Southern Rhône,Hommage à Jacques Perrin Châteauneuf-du-Pape,Château de Beaucastel,2005
399,Gaja,Italy,Northern Italy,Darmagi Langhe,Gaja,1999
400,Château Tertre Roteboeuf,France,Bordeaux Right Bank,Saint-Émilion Grand Cru,Château Tertre Roteboeuf,2015
401,Bond,United States,Napa Valley,St. Eden,Bond,2006
402,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Conti Grand Cru,Domaine de La Romanée-Conti,1988
403,Eisele Vineyard,United States,Napa Valley,Cabernet Sauvignon,Eisele Vineyard,2016
404,Quinta do Crasto,Portugal,Portuguese,Vinha Maria Teresa,Quinta do Crasto,2016
405,Château Ausone,France,Bordeaux Right Bank,Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Ausone,2003
406,Domaine Armand Rousseau,France,Burgundy,Chambertin Grand Cru,Domaine Armand Rousseau,2012
407,Château Lafite Rothschild,France,Bordeaux Left Bank,Carruades de Lafite Pauillac,Château Lafite Rothschild,1986
408,Pétrus,France,Bordeaux Right Bank,Pomerol,Pétrus,2017
409,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,1992
410,Pegau,France,Southern Rhône,Cuvée Da Capo Châteauneuf-du-Pape,Pegau,2003
411,Quinta do Crasto,Portugal,Portuguese,Vinha da Ponte,Quinta do Crasto,2016
412,Domaine de La Romanée-Conti,France,Burgundy,Richebourg Grand Cru,Domaine de La Romanée-Conti,2008
413,Château Ausone,France,Bordeaux Right Bank,Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Ausone,2008
414,E. Guigal,France,Northern Rhône,Côte-Rôtie La Mouline,E. Guigal,2009
415,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Conti Grand Cru,Domaine de La Romanée-Conti,1989
416,Henri Bonneau,France,Southern Rhône,Chateauneuf-du-Pape Réserve des Célestins,Henri Bonneau,2007
417,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Conti Grand Cru,Domaine de La Romanée-Conti,1994
418,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,1994
419,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Conti Grand Cru,Domaine de La Romanée-Conti,2016
420,Domaine de La Romanée-Conti,France,Burgundy,Échezeaux Grand Cru,Domaine de La Romanée-Conti,2000
421,Domaine Comte Georges de Vogüé,France,Burgundy,Musigny Grand Cru (Cuveé Vieilles Vignes),Domaine Comte Georges de Vogüé,2017
422,Château Rayas,France,Southern Rhône,Châteauneuf-du-Pape,Château Rayas,2010
423,Château Haut-Brion,France,Bordeaux Left Bank,Pessac-Léognan (Premier Grand Cru Classé),Château Haut-Brion,2018
424,Château La Mission Haut-Brion,France,Bordeaux Left Bank,Pessac-Léognan (Grand Cru Classé de Graves),Château La Mission Haut-Brion,2015
425,Penfolds,Australia,Australian,Grange,Penfolds,2018
426,Le Pin,France,Bordeaux Right Bank,Pomerol,Le Pin,2004
427,Château Margaux,France,Bordeaux Left Bank,Château Margaux (Premier Grand Cru Classé),Château Margaux,2018
428,E. Guigal,France,Northern Rhône,Côte-Rôtie La Landonne,E. Guigal,2005
429,Château Tertre Roteboeuf,France,Bordeaux Right Bank,Saint-Émilion Grand Cru,Château Tertre Roteboeuf,2016
430,Viña Cobos,Argentina,Argentinian,Cobos Marchiori Estate Malbec,Viña Cobos,2018
431,Château Pavie Decesse,France,Bordeaux Right Bank,Saint-Émilion Grand Cru (Grand Cru Classé),Château Pavie Decesse,2005
432,Domaine de La Romanée-Conti,France,Burgundy,Grands-Échezeaux Grand Cru,Domaine de La Romanée-Conti,1989
433,Le Pin,France,Bordeaux Right Bank,Pomerol,Le Pin,2008
434,Domaine Armand Rousseau,France,Burgundy,Chambertin Grand Cru,Domaine Armand Rousseau,2005
435,Soldera,Italy,Tuscan,Case Basse Sangiovese Toscana,Soldera,2014
436,Sequoia Grove,United States,Napa Valley,Cambium,Sequoia Grove,2015
437,Giacomo Conterno,Italy,Italian,Barolo Riserva Monfortino,Giacomo Conterno,2014
438,Costa Boal Family Estates,Portugal,Portuguese,Homenagem Grande Reserva,Costa Boal Family Estates,2011
